"","application_for","potential_voters","ballots_distributed","ballots_cast","final_voter_count","pass_rate","response_rate"
"505","Front Yard Parking",123,104,58,104,30,55.77
"506","Appeal  Front Yard Parking",284,42,10,42,6,23.81
"507","Front Yard Parking",58,43,11,43,7,25.58
"508","Commercial Boulevard Parking",91,63,19,63,11,30.16
"509","Traffic Calming",62,55,35,55,21,63.64
"510","Appeal  Front Yard Parking",96,86,43,86,23,50
"511","Front Yard Parking",111,103,41,103,22,39.81
"512","Front Yard Parking",123,104,48,104,25,46.15
"513","Traffic Calming",260,202,131,202,79,64.85
"514","Appeal  Front Yard Parking",98,75,25,75,14,33.33
"515","Appeal  Front Yard Parking",87,64,34,64,18,53.12
"516","Front Yard Parking",18,16,8,16,5,50
"517","Traffic Calming",182,136,93,136,56,68.38
"518","Appeal  Front Yard Parking",131,56,34,56,18,60.71
"519","Front Yard Parking",98,85,37,85,20,43.53
"520","Appeal  Front Yard Parking",92,75,51,75,27,68
"521","Appeal  Front Yard Parking",85,74,38,74,20,51.35
"522","Front Yard Parking",148,131,76,131,39,58.02
"523","Front Yard Parking",197,145,61,145,32,42.07
"524","Traffic Calming",121,104,56,104,34,53.85
"525","Traffic Calming",189,157,92,157,56,58.6
"526","Boulevard Cafe",168,159,44,159,23,27.67
"527","Front Yard Parking",63,55,37,55,20,67.27
"528","Front Yard Parking",94,84,25,84,14,29.76
"529","Traffic Calming",225,196,103,196,62,52.55
"530","Front Yard Parking",76,60,30,60,16,50
"531","Front Yard Parking",105,95,53,95,28,55.79
"532","Front Yard Parking",85,64,30,64,16,46.88
"533","Front Yard Parking",87,63,28,63,15,44.44
"534","Traffic Calming",189,154,101,154,61,65.58
"535","Traffic Calming",312,277,136,277,82,49.1
"536","Permit Parking",107,94,62,94,32,65.96
"537","Front Yard Parking",122,115,59,115,31,51.3
"538","Front Yard Parking",99,84,39,84,21,46.43
"539","Front Yard Parking",86,76,38,76,20,50
"540","Front Yard Parking",115,90,28,90,15,31.11
"541","Front Yard Parking",116,92,37,92,20,40.22
"542","Front Yard Parking",106,99,52,99,27,52.53
"543","Front Yard Parking",142,117,45,117,24,38.46
"544","Boulevard Cafe",80,66,40,66,21,60.61
"545","Front Yard Parking",148,112,46,112,24,41.07
"546","Boulevard Cafe",158,125,48,125,25,38.4
"547","Front Yard Parking",96,85,56,85,29,65.88
"548","Traffic Calming",24,17,11,17,7,64.71
"549","Front Yard Parking",137,117,47,117,25,40.17
"550","Front Yard Parking",57,54,27,54,15,50
"551","Appeal  Front Yard Parking",109,55,25,55,14,45.45
"552","Traffic Calming",240,198,110,198,66,55.56
"553","Front Yard Parking",99,86,46,86,24,53.49
"554","Front Yard Parking",36,30,18,30,10,60
"555","Traffic Calming",85,80,49,80,30,61.25
"556","Traffic Calming",332,282,158,282,95,56.03
"557","Boulevard Cafe",85,76,24,76,13,31.58
"558","Boulevard Cafe",75,66,20,66,11,30.3
"559","Front Yard Parking",64,53,38,53,20,71.7
"560","Front Yard Parking",65,58,20,58,11,34.48
"561","Front Yard Parking",140,100,34,100,18,34
"562","Appeal  Front Yard Parking",79,67,32,67,17,47.76
"563","Business Improvement Area",2529,302,116,302,58,38.41
"564","Front Yard Parking",130,111,41,111,22,36.94
"565","Front Yard Parking",90,68,32,68,17,47.06
"566","Permit Parking",167,164,69,164,36,42.07
"567","Boulevard Cafe",70,62,22,62,12,35.48
"568","Front Yard Parking",225,169,49,169,26,28.99
"569","Front Yard Parking",51,42,26,42,14,61.9
"570","Front Yard Parking",86,78,37,78,20,47.44
"571","Permit Parking",59,54,24,54,13,44.44
"572","Permit Parking",229,214,77,214,40,35.98
"573","Traffic Calming",571,526,309,526,186,58.75
"574","Traffic Calming",142,128,82,128,50,64.06
"575","Front Yard Parking",141,121,41,121,22,33.88
"576","Front Yard Parking",86,68,40,68,21,58.82
"577","Boulevard Cafe",94,83,29,83,16,34.94
"578","Boulevard Cafe",80,74,26,74,14,35.14
"579","Commercial Boulevard Parking",19,18,8,18,5,44.44
"580","Front Yard Parking",92,83,68,83,35,81.93
"581","Front Yard Parking",65,59,34,59,18,57.63
"582","Front Yard Parking",81,74,42,74,22,56.76
"583","Front Yard Parking",74,68,29,68,16,42.65
"584","Front Yard Parking",91,75,39,75,21,52
"585","Front Yard Parking",17,16,13,16,8,81.25
"586","Front Yard Parking",36,35,19,35,11,54.29
"587","Front Yard Parking",105,97,43,97,23,44.33
"588","Front Yard Parking",95,60,23,60,13,38.33
"589","Permit Parking",70,56,24,56,13,42.86
"590","Front Yard Parking",74,68,27,68,15,39.71
"591","Front Yard Parking",152,90,48,90,25,53.33
"592","Front Yard Parking",104,81,26,81,14,32.1
"593","Boulevard Cafe",39,34,20,34,11,58.82
"594","Front Yard Parking",80,61,38,61,20,62.3
"595","Commercial Boulevard Parking",49,31,16,31,9,51.61
"596","Front Yard Parking",57,49,22,49,12,44.9
"597","Commercial Boulevard Parking",16,9,4,9,3,44.44
"598","Permit Parking",91,80,35,80,19,43.75
"599","Front Yard Parking",58,55,22,55,12,40
"600","Front Yard Parking",138,106,42,106,22,39.62
"601","Front Yard Parking",32,31,12,31,7,38.71
"602","Traffic Calming",146,122,65,122,39,53.28
"603","Front Yard Parking",93,80,47,80,25,58.75
"604","Traffic Calming",50,44,36,44,22,81.82
"605","Traffic Calming",63,59,31,59,19,52.54
"606","Front Yard Parking",95,92,62,92,32,67.39
"607","Front Yard Parking",42,36,25,36,14,69.44
"608","Boulevard Cafe",93,69,27,69,15,39.13
"609","Boulevard Cafe",194,152,48,152,25,31.58
"610","Traffic Calming",591,539,297,539,179,55.1
"611","Traffic Calming",250,202,128,202,77,63.37
"612","Traffic Calming",246,221,126,221,76,57.01
"613","Front Yard Parking",21,19,11,19,7,57.89
"614","Front Yard Parking",98,74,44,74,23,59.46
"615","Front Yard Parking",113,105,55,105,29,52.38
"616","Front Yard Parking",40,34,20,34,11,58.82
"617","Front Yard Parking",52,47,24,47,13,51.06
"618","Boulevard Cafe",214,137,43,137,23,31.39
"619","Front Yard Parking",66,56,28,56,15,50
"620","Front Yard Parking",90,79,49,79,26,62.03
"621","Front Yard Parking",76,63,33,63,18,52.38
"622","Boulevard Cafe",54,46,19,46,11,41.3
"623","Boulevard Cafe",108,92,49,92,26,53.26
"624","Front Yard Parking",49,40,16,40,9,40
"625","Front Yard Parking",64,52,36,52,19,69.23
"626","Permit Parking",151,134,72,134,37,53.73
"627","Boulevard Cafe",116,96,40,96,21,41.67
"628","Boulevard Cafe",171,128,50,128,26,39.06
"629","Front Yard Parking",119,101,52,101,27,51.49
"630","Front Yard Parking",150,131,43,131,23,32.82
"631","Front Yard Parking",70,62,35,62,19,56.45
"632","Front Yard Parking",122,113,35,113,19,30.97
"633","Business Improvement Area",1311,56,17,56,9,30.36
"634","Front Yard Parking",152,140,63,140,33,45
"635","Front Yard Parking",74,68,32,68,17,47.06
"636","Front Yard Parking",49,41,24,41,13,58.54
"637","Boulevard Cafe",179,159,34,159,18,21.38
"638","Traffic Calming",120,95,54,95,33,56.84
"639","Traffic Calming",206,187,115,187,69,61.5
"640","Traffic Calming",235,211,162,211,98,76.78
"641","Front Yard Parking",196,155,55,155,29,35.48
"642","Permit Parking",150,137,61,137,32,44.53
"643","Boulevard Cafe",129,113,50,113,26,44.25
"644","Boulevard Cafe",84,67,20,67,11,29.85
"645","Front Yard Parking",153,136,67,136,35,49.26
"646","Front Yard Parking",172,145,69,145,36,47.59
"647","Front Yard Parking",74,63,31,63,17,49.21
"648","Front Yard Parking",42,35,27,35,15,77.14
"649","Front Yard Parking",69,60,34,60,18,56.67
"650","Front Yard Parking",107,94,44,94,23,46.81
"651","Front Yard Parking",114,102,45,102,24,44.12
"652","Traffic Calming",205,167,78,167,47,46.71
"653","Commercial Boulevard Parking",63,46,18,46,10,39.13
"654","Permit Parking",87,78,39,78,21,50
"655","Boulevard Cafe",83,70,27,70,15,38.57
"656","Front Yard Parking",25,20,14,20,8,70
"657","Front Yard Parking",31,30,16,30,9,53.33
"658","Boulevard Cafe",81,67,36,67,19,53.73
"659","Boulevard Cafe",72,61,20,61,11,32.79
"660","Permit Parking",63,48,11,48,7,22.92
"661","Front Yard Parking",95,84,48,84,25,57.14
"662","Permit Parking",24,22,7,22,5,31.82
"663","Permit Parking",100,100,40,100,21,40
"664","Permit Parking",2,2,2,2,2,100
"665","Permit Parking",153,150,49,150,26,32.67
"666","Permit Parking",45,45,22,45,12,48.89
"667","Permit Parking",46,46,13,46,8,28.26
"668","Permit Parking",99,59,27,59,15,45.76
"669","Boulevard Cafe",56,47,28,47,15,59.57
"670","Boulevard Cafe",170,126,33,126,18,26.19
"671","Permit Parking",205,177,84,177,43,47.46
"672","Front Yard Parking",131,127,41,127,22,32.28
"673","Permit Parking",68,68,34,68,18,50
"674","Boulevard Cafe",29,27,18,27,10,66.67
"675","Front Yard Parking",110,95,49,95,26,51.58
"676","Traffic Calming",161,138,79,138,48,57.25
"677","Front Yard Parking",111,99,61,99,32,61.62
"678","Boulevard Cafe",116,95,28,95,15,29.47
"679","Traffic Calming",92,86,44,86,27,51.16
"680","Traffic Calming",209,188,99,188,60,52.66
"681","Traffic Calming",94,76,49,76,30,64.47
"682","Traffic Calming",88,72,39,72,24,54.17
"683","Traffic Calming",172,148,90,148,54,60.81
"684","Front Yard Parking",39,35,13,35,8,37.14
"685","Front Yard Parking",143,127,63,127,33,49.61
"686","Front Yard Parking",87,62,36,62,19,58.06
"687","Boulevard Cafe",72,60,14,60,8,23.33
"688","Traffic Calming",121,115,59,115,36,51.3
"689","Traffic Calming",161,132,71,132,43,53.79
"690","Front Yard Parking",147,133,75,133,39,56.39
"691","Front Yard Parking",75,57,26,57,14,45.61
"692","Permit Parking",26,26,11,26,7,42.31
"693","Permit Parking",117,96,50,96,26,52.08
"694","Front Yard Parking",137,106,43,106,23,40.57
"695","Front Yard Parking",153,97,48,97,25,49.48
"696","Permit Parking",157,127,45,127,24,35.43
"697","Appeal  Front Yard Parking",80,51,25,51,14,49.02
"698","Permit Parking",162,150,96,150,49,64
"699","Front Yard Parking",90,78,50,78,26,64.1
"700","Front Yard Parking",84,77,42,77,22,54.55
"701","Front Yard Parking",117,85,22,85,12,25.88
"702","Front Yard Parking",28,23,16,23,9,69.57
"703","Front Yard Parking",28,23,16,23,9,69.57
"704","Business Improvement Area",412,175,83,175,42,47.43
"705","Traffic Calming",89,80,43,80,26,53.75
"706","Front Yard Parking",65,56,36,56,19,64.29
"707","Front Yard Parking",119,106,55,106,29,51.89
"708","Permit Parking",168,141,78,141,40,55.32
"709","Traffic Calming Safety Zone",63,43,19,43,12,44.19
"710","Permit Parking",38,36,14,36,8,38.89
"711","Front Yard Parking",114,107,49,107,26,45.79
"712","Permit Parking",156,130,31,130,17,23.85
"713","Traffic Calming Safety Zone",457,376,130,376,78,34.57
"714","Traffic Calming",82,72,40,72,24,55.56
"715","Front Yard Parking",134,113,45,113,24,39.82
"716","Front Yard Parking",117,96,39,96,21,40.62
"717","Front Yard Parking",57,41,35,41,19,85.37
"718","Front Yard Parking",138,99,39,99,21,39.39
"719","Permit Parking",61,52,19,52,11,36.54
"720","Permit Parking",124,114,69,114,36,60.53
"721","Front Yard Parking",99,91,40,91,21,43.96
"722","Front Yard Parking",165,104,40,104,21,38.46
"723","Front Yard Parking",58,30,11,30,7,36.67
"724","Permit Parking Removal",193,166,50,166,26,30.12
"725","Permit Parking Removal",83,72,25,72,14,34.72
"726","Permit Parking Removal",77,65,39,65,21,60
"727","Permit Parking Removal",189,63,25,63,14,39.68
"728","Permit Parking Removal",46,41,22,41,12,53.66
"729","Front Yard Parking",108,97,54,97,28,55.67
"730","Permit Parking Removal",583,539,229,539,116,42.49
"731","Permit Parking Removal",142,72,20,72,11,27.78
"732","Permit Parking Removal",60,31,8,31,5,25.81
"733","Permit Parking Removal",251,216,92,216,47,42.59
"734","Permit Parking Removal",132,53,15,53,9,28.3
"735","Permit Parking Removal",54,48,16,48,9,33.33
"736","Permit Parking Removal",216,192,84,192,43,43.75
"737","Permit Parking Removal",111,105,47,105,25,44.76
"738","Permit Parking Removal",101,83,40,83,21,48.19
"739","Permit Parking Removal",155,70,23,70,13,32.86
"740","Permit Parking Removal",79,71,40,71,21,56.34
"741","Permit Parking Removal",32,32,14,32,8,43.75
"742","Permit Parking Removal",32,26,17,26,10,65.38
"743","Permit Parking Removal",228,187,90,187,46,48.13
"744","Permit Parking Removal",62,61,24,61,13,39.34
"745","Permit Parking Removal",213,192,86,192,44,44.79
"746","Permit Parking Removal",11,5,3,5,3,60
"747","Permit Parking Removal",224,192,85,192,44,44.27
"748","Front Yard Parking",113,106,68,106,35,64.15
"749","Front Yard Parking",95,77,46,77,24,59.74
"750","Front Yard Parking",122,106,53,106,28,50
"751","Traffic Calming",50,44,32,44,20,72.73
"752","Traffic Calming",215,186,122,186,74,65.59
"753","Front Yard Parking",143,104,55,104,29,52.88
"754","Front Yard Parking",109,91,39,91,21,42.86
"755","Permit Parking Removal",195,170,98,170,50,57.65
"756","Permit Parking Removal",85,75,46,75,24,61.33
"757","Permit Parking Removal",79,65,45,65,24,69.23
"758","Permit Parking Removal",115,106,65,106,34,61.32
"759","Permit Parking Removal",46,42,18,42,10,42.86
"760","Permit Parking",15,15,8,15,5,53.33
"761","Permit Parking",33,32,16,32,9,50
"762","Front Yard Parking",111,103,65,103,34,63.11
"763","Front Yard Parking",149,129,62,129,32,48.06
"764","Traffic Calming",122,99,52,99,32,52.53
"765","Traffic Calming Safety Zone",781,645,208,645,125,32.25
"766","Permit Parking",118,113,34,113,18,30.09
"767","Front Yard Parking",71,62,41,62,22,66.13
"768","Permit Parking",48,45,32,45,17,71.11
"769","Front Yard Parking",118,104,70,104,36,67.31
"770","Permit Parking",81,73,35,73,19,47.95
"771","Front Yard Parking",59,50,36,50,19,72
"772","Front Yard Parking",97,88,65,88,34,73.86
"773","Permit Parking",21,11,3,11,3,27.27
"774","Front Yard Parking",114,96,60,96,31,62.5
"775","Front Yard Parking",85,72,23,72,13,31.94
"776","Front Yard Parking",136,98,50,98,26,51.02
"777","Front Yard Parking",270,193,56,193,29,29.02
"778","Permit Parking",546,301,100,301,51,33.22
"779","Traffic Calming Island",64,58,32,58,20,55.17
"780","Front Yard Parking",94,88,34,88,18,38.64
"781","Permit Parking Removal",82,70,31,70,17,44.29
"782","Permit Parking",33,33,16,33,9,48.48
"783","Commercial Boulevard Parking",53,50,20,50,11,40
"784","Front Yard Parking",113,109,47,109,25,43.12
"785","Front Yard Parking",133,46,22,46,12,47.83
"786","Front Yard Parking",109,97,59,97,31,60.82
"787","Front Yard Parking",54,49,33,49,18,67.35
"788","Permit Parking",420,400,132,400,67,33
"789","Front Yard Parking",100,88,43,88,23,48.86
"790","Front Yard Parking",69,57,37,57,20,64.91
"791","Front Yard Parking",126,102,47,102,25,46.08
"792","Front Yard Parking",123,103,59,103,31,57.28
"793","Front Yard Parking",127,105,28,105,15,26.67
"794","Permit Parking",215,195,80,195,41,41.03
"795","Front Yard Parking",198,155,69,155,36,44.52
"796","Traffic Calming",271,240,136,240,82,56.67
"797","Front Yard Parking",150,110,58,110,30,52.73
"798","Front Yard Parking",76,70,41,70,22,58.57
"799","Permit Parking",110,94,31,94,17,32.98
"800","Commercial Boulevard Parking",40,37,17,37,10,45.95
"801","Front Yard Parking",165,91,39,91,21,42.86
"802","Front Yard Parking",98,76,36,76,19,47.37
"803","Front Yard Parking",19,18,17,18,10,94.44
"804","Front Yard Parking",11,10,8,10,5,80
"805","Permit Parking Removal",104,81,64,81,33,79.01
"806","Front Yard Parking",89,75,43,75,23,57.33
"807","Front Yard Parking",132,101,45,101,24,44.55
"808","Front Yard Parking",32,31,9,31,6,29.03
"809","Front Yard Parking",138,113,38,113,20,33.63
"810","Front Yard Parking",126,108,73,108,38,67.59
"811","Front Yard Parking",734,114,62,114,32,54.39
"812","Front Yard Parking",140,110,75,110,39,68.18
"813","Permit Parking",121,120,46,120,24,38.33
"814","Front Yard Parking",27,20,9,20,6,45
"815","Front Yard Parking",79,68,36,68,19,52.94
"816","Front Yard Parking",122,99,29,99,16,29.29
"817","Front Yard Parking",36,35,15,35,9,42.86
"818","Front Yard Parking",106,92,52,92,27,56.52
"819","Front Yard Parking",158,134,33,134,18,24.63
"820","Front Yard Parking",113,101,56,101,29,55.45
"821","Front Yard Parking",57,49,30,49,16,61.22
"822","Front Yard Parking",48,46,18,46,10,39.13
"823","Front Yard Parking",69,61,26,61,14,42.62
"824","Front Yard Parking",114,94,52,94,27,55.32
"825","Front Yard Parking",104,75,23,75,13,30.67
"826","Front Yard Parking",79,66,30,66,16,45.45
"827","Traffic Calming Safety Zone",326,260,69,260,42,26.54
"828","Traffic Calming Safety Zone",122,101,45,101,27,44.55
"829","Permit Parking",108,97,39,97,21,40.21
"830","Front Yard Parking",108,97,69,97,36,71.13
"831","Front Yard Parking",85,79,45,79,24,56.96
"832","Front Yard Parking",71,68,42,68,22,61.76
"833","Front Yard Parking",89,80,51,80,27,63.75
"834","Front Yard Parking",56,43,15,43,9,34.88
"835","Permit Parking",70,64,22,64,12,34.38
"836","Front Yard Parking",55,45,17,45,10,37.78
"837","Permit Parking",75,61,14,61,8,22.95
"838","Front Yard Parking",99,88,30,88,16,34.09
"839","Front Yard Parking",75,72,36,72,19,50
"840","Permit Parking",84,76,42,76,22,55.26
"841","Permit Parking",62,60,27,60,15,45
"842","Front Yard Parking",97,80,41,80,22,51.25
"843","Front Yard Parking",160,136,50,136,26,36.76
"844","Front Yard Parking",64,59,28,59,15,47.46
"845","Front Yard Parking",96,88,45,88,24,51.14
"846","Front Yard Parking",48,45,38,45,20,84.44
"847","Front Yard Parking",28,27,18,27,10,66.67
"848","Front Yard Parking",81,75,42,75,22,56
"849","Front Yard Parking",42,41,21,41,12,51.22
"850","Front Yard Parking",117,107,63,107,33,58.88
"851","Front Yard Parking",86,76,38,76,20,50
"852","Front Yard Parking",106,90,77,90,40,85.56
"853","Front Yard Parking",24,23,11,23,7,47.83
"854","Front Yard Parking",102,95,51,95,27,53.68
"855","Front Yard Parking",150,129,34,129,18,26.36
"856","Front Yard Parking",90,81,31,81,17,38.27
"857","Front Yard Parking",129,117,40,117,21,34.19
"858","Front Yard Parking",46,44,29,44,16,65.91
"859","Front Yard Parking",108,92,52,92,27,56.52
"860","Front Yard Parking",128,112,53,112,28,47.32
"861","Front Yard Parking",57,52,41,52,22,78.85
"862","Front Yard Parking",154,126,53,126,28,42.06
"863","Permit Parking",12,11,7,11,5,63.64
"864","Permit Parking",173,151,94,151,48,62.25
"865","Front Yard Parking",87,61,36,61,19,59.02
"866","Traffic Calming",85,75,53,75,32,70.67
"867","Traffic Calming",24,22,17,22,11,77.27
"868","Front Yard Parking",68,64,27,64,15,42.19
"869","Front Yard Parking",159,133,86,133,44,64.66
"870","Front Yard Parking",35,34,10,34,6,29.41
"871","Front Yard Parking",122,111,64,111,33,57.66
"872","Permit Parking",108,104,35,104,19,33.65
"873","Permit Parking",110,100,28,100,15,28
"874","Front Yard Parking",118,105,72,105,37,68.57
"875","Front Yard Parking",88,82,39,82,21,47.56
"876","Front Yard Parking",168,140,38,140,20,27.14
"877","Front Yard Parking",67,57,37,57,20,64.91
"878","Front Yard Parking",134,115,50,115,26,43.48
"879","Front Yard Parking",77,71,39,71,21,54.93
"880","Front Yard Parking",31,30,24,30,13,80
"881","Permit Parking",86,72,34,72,18,47.22
"882","Front Yard Parking",66,63,38,63,20,60.32
"883","Front Yard Parking",99,86,43,86,23,50
"884","Front Yard Parking",93,75,23,75,13,30.67
"885","Permit Parking",130,117,48,117,25,41.03
"886","Front Yard Parking",115,98,47,98,25,47.96
"887","Front Yard Parking",105,89,50,89,26,56.18
"888","Front Yard Parking",96,79,42,79,22,53.16
"889","Front Yard Parking",138,124,79,124,41,63.71
"890","Front Yard Parking",52,42,31,42,17,73.81
"891","Front Yard Parking",22,21,13,21,8,61.9
"892","Front Yard Parking",73,64,38,64,20,59.38
"893","Front Yard Parking",65,52,33,52,18,63.46
"894","Permit Parking",75,63,17,63,10,26.98
"895","Permit Parking",92,86,38,86,20,44.19
"896","Front Yard Parking",82,52,18,52,10,34.62
"897","Permit Parking",76,72,25,72,14,34.72
"898","Front Yard Parking",61,55,29,55,16,52.73
"899","Front Yard Parking",143,92,20,92,11,21.74
"900","Front Yard Parking",69,55,22,55,12,40
"901","Permit Parking",122,118,41,118,22,34.75
"902","Permit Parking",81,72,25,72,14,34.72
"903","Permit Parking",59,52,28,52,15,53.85
"904","Traffic Calming Safety Zone",135,125,65,125,39,52
"905","Traffic Calming",172,151,96,151,58,63.58
"906","Traffic Calming",84,75,24,75,15,32
"907","Front Yard Parking",154,135,63,135,33,46.67
"908","Traffic Calming",115,112,43,112,26,38.39
"909","Front Yard Parking",127,119,73,119,38,61.34
"910","Front Yard Parking",101,89,64,89,33,71.91
"911","Front Yard Parking",45,40,21,40,12,52.5
"912","Permit Parking",460,408,147,408,75,36.03
"913","Front Yard Parking",118,99,70,99,36,70.71
"914","Traffic Calming",48,30,19,30,12,63.33
"915","Front Yard Parking",139,99,29,99,16,29.29
"916","Front Yard Parking",54,49,15,49,9,30.61
"917","Front Yard Parking",116,94,47,94,25,50
"918","Front Yard Parking",58,50,43,50,23,86
"919","Traffic Calming Safety Zone",354,313,125,313,75,39.94
"920","Front Yard Parking",83,76,53,76,28,69.74
"921","Permit Parking",11,10,5,10,4,50
"922","Front Yard Parking",39,26,18,26,10,69.23
"923","Front Yard Parking",73,69,30,69,16,43.48
"924","Front Yard Parking",35,34,12,34,7,35.29
"925","Front Yard Parking",117,100,59,100,31,59
"926","Permit Parking",67,58,32,58,17,55.17
"927","Front Yard Parking",60,37,13,37,8,35.14
"928","Front Yard Parking",81,73,44,73,23,60.27
"929","Front Yard Parking",76,74,48,74,25,64.86
"930","Front Yard Parking",90,82,41,82,22,50
"931","Front Yard Parking",53,45,28,45,15,62.22
"932","Front Yard Parking",22,19,11,19,7,57.89
"933","Traffic Calming Safety Zone",256,227,121,227,73,53.3
"934","Front Yard Parking",100,79,29,79,16,36.71
"935","Front Yard Parking",93,82,39,82,21,47.56
"936","Front Yard Parking",102,87,60,87,31,68.97
"937","Front Yard Parking",148,115,81,115,42,70.43
"938","Front Yard Parking",75,70,28,70,15,40
"939","Front Yard Parking",61,52,21,52,12,40.38
"940","Front Yard Parking",45,39,22,39,12,56.41
"941","Front Yard Parking",51,45,25,45,14,55.56
"942","Traffic Calming",80,74,38,74,23,51.35
"943","Permit Parking",92,73,29,73,16,39.73
"944","Front Yard Parking",95,75,22,75,12,29.33
"945","Front Yard Parking",116,97,25,97,14,25.77
"946","Front Yard Parking",119,107,50,107,26,46.73
"947","Front Yard Parking",21,21,8,21,5,38.1
"948","Front Yard Parking",102,95,32,95,17,33.68
"949","Front Yard Parking",32,32,29,32,16,90.62
"950","Front Yard Parking",141,119,68,119,35,57.14
"951","Front Yard Parking",88,65,43,65,23,66.15
"952","Front Yard Parking",95,76,34,76,18,44.74
"953","Front Yard Parking",177,161,71,161,37,44.1
"954","Front Yard Parking",102,85,42,85,22,49.41
"955","Front Yard Parking",103,80,35,80,19,43.75
"956","Front Yard Parking",106,90,37,90,20,41.11
"957","Front Yard Parking",124,98,52,98,27,53.06
"958","Front Yard Parking",47,42,24,42,13,57.14
"959","Front Yard Parking",29,25,21,25,12,84
"960","Front Yard Parking",116,107,66,107,34,61.68
"961","Front Yard Parking",103,94,37,94,20,39.36
"962","Front Yard Parking",120,103,60,103,31,58.25
"963","Front Yard Parking",57,51,31,51,17,60.78
"964","Front Yard Parking",75,68,40,68,21,58.82
"965","Front Yard Parking",136,110,33,110,18,30
"966","Traffic Calming",75,68,37,68,23,54.41
"967","Traffic Calming",91,70,44,70,27,62.86
"968","Front Yard Parking",70,64,30,64,16,46.88
"969","Front Yard Parking",127,118,61,118,32,51.69
"970","Front Yard Parking",174,133,30,133,16,22.56
"971","Front Yard Parking",71,62,37,62,20,59.68
"972","Front Yard Parking",64,55,26,55,14,47.27
"973","Front Yard Parking",118,107,42,107,22,39.25
"974","Permit Parking",93,78,25,78,14,32.05
"975","Front Yard Parking",102,88,35,88,19,39.77
"976","Front Yard Parking",54,51,27,51,15,52.94
"977","Permit Parking",177,153,41,153,22,26.8
"978","Front Yard Parking",127,113,51,113,27,45.13
"979","Front Yard Parking",67,62,34,62,18,54.84
"980","Traffic Calming",144,124,68,124,41,54.84
"981","Front Yard Parking",38,32,29,32,16,90.62
"982","Front Yard Parking",148,139,86,139,44,61.87
"983","Front Yard Parking",121,102,43,102,23,42.16
"984","Permit Parking",126,117,66,117,34,56.41
"985","Front Yard Parking",78,69,24,69,13,34.78
"986","Front Yard Parking",105,88,34,88,18,38.64
"987","Front Yard Parking",43,41,24,41,13,58.54
"988","Front Yard Parking",86,61,16,61,9,26.23
"989","Front Yard Parking",43,36,17,36,10,47.22
"990","Front Yard Parking",136,118,67,118,35,56.78
"991","Front Yard Parking",76,64,39,64,21,60.94
"992","Front Yard Parking",58,50,21,50,12,42
"993","Front Yard Parking",77,72,31,72,17,43.06
"994","Front Yard Parking",142,119,39,119,21,32.77
"995","Front Yard Parking",46,41,32,41,17,78.05
"996","Front Yard Parking",125,107,68,107,35,63.55
"997","Front Yard Parking",94,82,37,82,20,45.12
"998","Front Yard Parking",68,61,26,61,14,42.62
"999","Front Yard Parking",45,40,34,40,18,85
"1000","Front Yard Parking",38,29,10,29,6,34.48
"1001","Front Yard Parking",70,60,31,60,17,51.67
"1002","Front Yard Parking",62,59,30,59,16,50.85
"1003","Front Yard Parking",104,80,39,80,21,48.75
"1004","Front Yard Parking",75,63,32,63,17,50.79
"1005","Front Yard Parking",49,43,29,43,16,67.44
"1006","Front Yard Parking",47,41,20,41,11,48.78
"1007","Front Yard Parking",60,48,20,48,11,41.67
"1008","Front Yard Parking",107,87,43,87,23,49.43
"1009","Front Yard Parking",52,46,28,46,15,60.87
"1010","Permit Parking",203,167,82,167,42,49.1
"1011","Permit Parking",110,100,60,100,31,60
"1012","Permit Parking",271,209,62,209,32,29.67
"1013","Front Yard Parking",170,136,53,136,28,38.97
"1014","Front Yard Parking",79,72,44,72,23,61.11
"1015","Traffic Calming",108,70,39,70,24,55.71
"1016","Front Yard Parking",57,51,40,51,21,78.43
"1017","Front Yard Parking",9,7,3,7,3,42.86
"1018","Front Yard Parking",178,142,69,142,36,48.59
"1019","Permit Parking",157,144,57,144,30,39.58
"1020","Front Yard Parking",95,82,48,82,25,58.54
"1021","Front Yard Parking",16,14,10,14,6,71.43
"1022","Front Yard Parking",198,145,61,145,32,42.07
"1023","Traffic Calming",97,85,41,85,25,48.24
"1024","Front Yard Parking",107,96,43,96,23,44.79
"1025","Traffic Calming",37,31,28,31,17,90.32
"1026","Traffic Calming",79,71,44,71,27,61.97
"1027","Traffic Calming",115,105,59,105,36,56.19
"1028","Traffic Calming",12,8,6,8,4,75
"1029","Traffic Calming",72,68,39,68,24,57.35
"1030","Traffic Calming",11,10,8,10,5,80
"1031","Traffic Calming",59,52,33,52,20,63.46
"1032","Traffic Calming",16,15,11,15,7,73.33
"1033","Front Yard Parking",60,58,40,58,21,68.97
"1034","Traffic Calming",8,7,5,7,3,71.43
"1035","Traffic Calming",26,24,16,24,10,66.67
"1036","Front Yard Parking",80,71,32,71,17,45.07
"1037","Front Yard Parking",92,85,49,85,26,57.65
"1038","Front Yard Parking",67,60,41,60,22,68.33
"1039","Front Yard Parking",45,44,34,44,18,77.27
"1040","Front Yard Parking",92,75,43,75,23,57.33
"1041","Front Yard Parking",62,59,26,59,14,44.07
"1042","Front Yard Parking",6,6,6,6,4,100
"1043","Front Yard Parking",92,86,50,86,26,58.14
